iter	Passed	Remaining
560	38842	30326
561	38892	30242
562	38955	30167
563	39014	30091
564	39078	30018
565	39141	29943
566	39215	29878
567	39291	29814
568	39365	29748
569	39431	29677
570	39504	29611
571	39578	29545
572	39634	29466
573	39696	29391
574	39764	29322
575	39838	29256
576	39914	29192
577	39989	29127
578	40066	29063
579	40122	28984
580	40192	28916
581	40259	28845
582	40334	28780
583	40408	28714
584	40472	28641
585	40537	28569
586	40602	28498
587	40679	28434
588	40753	28368
589	40823	28299
590	40895	28232
591	40961	28160
592	41018	28083
593	41100	28023
594	41172	27955
595	41252	27893
596	41321	27824
597	41382	27749
598	41445	27676
599	41499	27597
600	41579	27534
601	41652	27468
602	41717	27396
603	41797	27334
604	41859	27260
605	41930	27192
606	42013	27132
607	42080	27061
608	42143	26988
609	42222	26925
610	42294	26858
611	42351	26781
612	42401	26699
613	42469	26629
614	42539	26561
615	42618	26497
616	42676	26421
617	42751	26356
618	42821	26287
619	42881	26212
620	42945	26140
621	43015	26072
622	43077	25998
623	43151	25932
624	43215	25860
625	43277	25786
626	43338	25712
627	43408	25643
628	43474	25573
629	43534	25498
630	43602	25428
631	43675	25362
632	43742	25291
633	43821	25228
634	43883	25155
635	43948	25083
636	44011	25011
637	44082	24943
638	44142	24869
639	44210	24799
640	44282	24731
641	44350	24662
642	44415	24590
643	44482	24520
644	44536	24443
645	44613	24378
646	44682	24309
647	44757	24243
648	44828	24175
649	44896	24106
650	44955	24031
651	45023	23961
652	45094	23893
653	45149	23817
654	45224	23751
655	45305	23688
656	45373	23619
657	45426	23541
658	45487	23468
659	45549	23395
660	45615	23325
661	45676	23251
662	45746	23183
663	45818	23116
664	45890	23048
665	45959	22979
666	46036	22914
667	46109	22847
668	46173	22776
669	46243	22707
670	46323	22643
671	46381	22569
672	46450	22500
673	46521	22432
674	46598	22367
675	46668	22298
676	46738	22230
677	46805	22160
678	46879	22093
679	46940	22020
680	47020	21956
681	47095	21890
682	47171	21824
683	47236	21753
684	47315	21689
685	47386	21621
686	47459	21553
687	47531	21485
688	47588	21411
689	47650	21338
690	47728	21274
691	47781	21197
692	47850	21128
693	47911	21056
694	47983	20988
695	48059	20922
696	48120	20849
697	48186	20779
698	48244	20705
699	48318	20638
700	48379	20566
701	48451	20498
702	48524	20431
703	48592	20361
704	48649	20287
705	48720	20219
706	48785	20148
707	48859	20082
708	48930	20013
709	48996	19943
710	49069	19876
711	49138	19807
712	49211	19739
713	49270	19666
714	49333	19595
715	49406	19528
716	49471	19457
717	49552	19393
718	49625	19325
719	49676	19249
720	49740	19178
